sample_id,A_cov_ref,A_cov_gen,signature_ref,signature_gen
17716,0.163623,0.042317,ALIGNED,MIXED
35757,0.189507,0.00995,ALIGNED,MIXED
70850,0.078487,0.040639,MIXED,MIXED
40968,0.131951,0.083739,ALIGNED,MIXED
20401,0.216015,0.082813,ALIGNED,MIXED
49432,0.071347,0.062626,MIXED,MIXED
56126,0.173447,-0.004328,ALIGNED,MIXED
10264,0.189011,0.042716,ALIGNED,MIXED
72051,0.049906,-0.007445,MIXED,MIXED
65810,0.227804,0.034919,ALIGNED,MIXED
11957,0.18912,0.034433,ALIGNED,MIXED
20964,0.174145,0.029381,ALIGNED,MIXED
17522,0.161056,-0.022453,ALIGNED,MIXED
24236,0.12714,0.068893,ALIGNED,MIXED
58020,0.19547,0.024093,ALIGNED,MIXED
4915,0.155597,0.05553,ALIGNED,MIXED
11963,0.135547,-0.018815,ALIGNED,MIXED
45714,0.236929,0.01292,ALIGNED,MIXED
50699,0.049819,0.127893,MIXED,ALIGNED
54298,0.089373,0.047974,MIXED,MIXED
33067,0.235754,0.097604,ALIGNED,MIXED
26704,0.166553,0.027928,ALIGNED,MIXED
36608,0.211917,-0.016881,ALIGNED,MIXED
31746,0.107813,0.066262,ALIGNED,MIXED
26828,0.168244,0.052706,ALIGNED,MIXED
31850,0.103494,0.077206,ALIGNED,MIXED
65304,0.156658,0.054593,ALIGNED,MIXED
67966,0.129217,0.018559,ALIGNED,MIXED
54976,0.096273,0.012653,MIXED,MIXED
56833,0.166101,0.029592,ALIGNED,MIXED
48161,0.185289,0.016889,ALIGNED,MIXED
46120,0.192544,0.041073,ALIGNED,MIXED
58302,0.124127,0.072658,ALIGNED,MIXED
9621,0.132265,0.043724,ALIGNED,MIXED
19750,0.15325,-0.006393,ALIGNED,MIXED
32585,0.083288,0.019338,MIXED,MIXED
48134,0.111301,0.010364,ALIGNED,MIXED
6868,0.079727,0.059892,MIXED,MIXED
38750,0.087969,0.023292,MIXED,MIXED
60437,0.037077,0.120312,MIXED,ALIGNED
7708,0.14019,0.050724,ALIGNED,MIXED
21109,0.166799,0.048193,ALIGNED,MIXED
28932,0.121376,-0.001429,ALIGNED,MIXED
20042,0.069834,0.042577,MIXED,MIXED
48104,0.231707,0.08935,ALIGNED,MIXED
51992,0.064438,0.019106,MIXED,MIXED
64754,0.190686,0.012851,ALIGNED,MIXED
40244,0.134333,0.136692,ALIGNED,ALIGNED
55041,0.09906,0.060001,MIXED,MIXED
25182,0.170059,0.006228,ALIGNED,MIXED
69602,0.110145,0.052916,ALIGNED,MIXED
56551,0.1435,0.057844,ALIGNED,MIXED
27629,0.121339,0.052374,ALIGNED,MIXED
48501,0.097124,0.09182,MIXED,MIXED
60273,0.186166,0.052189,ALIGNED,MIXED
46588,0.032961,0.029291,MIXED,MIXED
17180,0.312552,0.039661,ALIGNED,MIXED
6812,0.128154,0.047792,ALIGNED,MIXED
3020,0.144956,-0.003074,ALIGNED,MIXED
33783,0.213452,0.049174,ALIGNED,MIXED
52005,0.19091,0.03875,ALIGNED,MIXED
13718,0.0855,0.043616,MIXED,MIXED
42901,0.168862,0.053919,ALIGNED,MIXED
63191,0.107913,0.010513,ALIGNED,MIXED
33518,0.130727,0.020077,ALIGNED,MIXED
16430,0.049663,0.01789,MIXED,MIXED
35337,0.132639,0.055027,ALIGNED,MIXED
9536,0.182466,0.006119,ALIGNED,MIXED
60099,0.169029,0.02628,ALIGNED,MIXED
5527,0.095267,-0.012089,MIXED,MIXED
67497,0.148186,0.093958,ALIGNED,MIXED
16955,0.265414,0.064894,ALIGNED,MIXED
20395,0.17986,0.021698,ALIGNED,MIXED
43590,0.164675,-0.005908,ALIGNED,MIXED
58283,0.169831,0.050058,ALIGNED,MIXED
57608,0.184354,0.018298,ALIGNED,MIXED
6528,0.113061,0.102535,ALIGNED,ALIGNED
68102,0.238946,0.056599,ALIGNED,MIXED
12826,0.18494,0.024651,ALIGNED,MIXED
6667,0.110244,-0.027983,ALIGNED,MIXED
62885,0.070203,0.107271,MIXED,ALIGNED
14088,0.101449,0.070643,ALIGNED,MIXED
12082,0.195644,-0.016,ALIGNED,MIXED
14286,0.097781,0.062286,MIXED,MIXED
12677,0.048204,0.004824,MIXED,MIXED
8431,0.123919,0.052836,ALIGNED,MIXED
38650,0.125098,0.058922,ALIGNED,MIXED
2699,0.097257,0.010047,MIXED,MIXED
6562,0.172032,0.040401,ALIGNED,MIXED
47415,0.037757,0.018512,MIXED,MIXED
52357,0.106321,0.108136,ALIGNED,ALIGNED
22026,0.115577,0.015591,ALIGNED,MIXED
53770,0.144505,0.027584,ALIGNED,MIXED
7946,0.205636,-0.012026,ALIGNED,MIXED
16726,0.11708,0.004513,ALIGNED,MIXED
39565,0.134326,0.033264,ALIGNED,MIXED
